,SAG Power,SAG Specific Energy,SAG Fresh Feed,SAG Feed F80,SAG Feed F80 Mixed,SAG Feed F80 diff,R/F ratio,SAG Feed Density,SAG Feed Water,SAG Total Feed Rate,SAG Main Bearing Pressure,SAG Microphone Sensor,SAG Charge Softsensor,SAG Screen Motor Currency,SAG Recycling load,Crusher Feed F80,Crusher Power,Crusher Feed Rate,Crusher Wasted,Crusher Product P80,Crusher Specific Energy
2390,12638.0,9.983245399989414,1264.921,53.2463502,46.553183598004786,6.693166601995216,0.20381668104174086,0.5957896927917152,1032.09,1522.733,6730.900500000001,105.2491,47.172129999999996,33.668490000000006,257.8119999999999,36.68055,177.2433,219.183,0.6288243,20.4072,0.2155427200102198
2391,12524.0,8.903631905486709,1405.6170000000002,53.8884876,46.73981440369688,7.148673196303115,0.21693676157872294,0.5978301859426217,1149.712,1710.547,6715.2035000000005,105.0349,51.561890000000005,33.87205,304.92999999999984,35.77473,194.2998,229.141,0.6387427,20.93569,0.28061237404043804
2392,12687.0,8.855246351320226,1431.71,53.6937966,46.80631562047524,6.88748097952476,0.2118578483072689,0.6000794789391186,1155.303,1735.029,6761.789,105.0196,38.72798,34.05283,303.31899999999996,35.33865,205.6013,234.5743,0.6337835,21.18388,0.3222914871748525
2393,12783.0,8.971993315398237,1423.767,53.605252199999995,46.52330517002908,7.081947029970912,0.21518478796038962,0.6007651670512872,1148.754,1730.14,6783.125,104.5447,26.68757,33.74575,306.37300000000005,35.12258,191.9835,224.7551,0.6208895999999999,20.69425,0.2757823960390665
2394,12962.0,9.952846451121479,1301.3410000000001,54.099968000000004,46.208149624258375,7.891818375741629,0.2375987539007836,0.5972635922934973,1084.99,1610.5379999999998,6858.264,104.2768,21.50822,33.484770000000005,309.19699999999966,34.86472,175.0863,214.0492,0.6129549,20.885070000000002,0.2106352184451051
2395,12978.0,10.71366657035539,1210.35,54.55655839999999,46.571472024067084,7.985086375932909,0.23468913950510187,0.6006884012575979,992.4163,1494.406,6842.630499999999,103.8987,20.76276,33.621559999999995,284.05600000000004,34.86828,175.4489,212.8521,0.6089876000000001,20.53246,0.21352338078882008
2396,12767.0,10.50474099769944,1214.356,53.8183074,45.75543648445958,8.062870915540422,0.24529874270806923,0.6014641297750669,1001.0219999999999,1512.236,6794.0455,104.47,30.115270000000002,33.99855,297.8800000000001,35.105959999999996,186.4115,229.2789,0.6040284,20.948710000000002,0.24603877635491095
2397,12490.0,8.309029366996988,1502.184,53.6566872,47.69464980579636,5.962037394203641,0.18471572057750588,0.6095052990826567,1139.184,1779.661,6692.9205,105.0205,54.82421,34.23875,277.4770000000001,34.93649,220.4001,243.9273,0.6139467,21.37986,0.37060263447346814
2398,12600.0,8.353714850584527,1507.3110000000001,54.57449079999999,46.93761928106807,7.636871518931919,0.23012238350280728,0.5995814971420736,1237.275,1854.1770000000001,6759.517,104.6165,36.0278,34.50813,346.866,34.85474,255.2474,260.1607,0.6377509,21.388360000000002,0.4814232126527949
2399,12754.0,8.669844386014047,1470.076,54.4756594,46.959991911039836,7.515667488960162,0.22903509750516304,0.6019463244884734,1193.78,1806.775,6778.6855,104.8789,30.930909999999997,34.490390000000005,336.69900000000007,34.775859999999994,243.4205,250.2453,0.6635386,21.661179999999998,0.45323728357735393
