Time;FEEDER #1 P80;FEEDER #2 P80;FEEDER #3 P80;NEW FEED BELT SCALE;NEW FEED P80;PEBBLE PRODUCT F80;SAG MILL FEED DENSITY;SM. PROC WATER FLOW;SM Total Feed Rate (Tonnage);Motor 1 Torque Real;Mill Power;SM Main Bearing FE (RHS) Pressure;SM Main Bearing DE (RHS) Pressure;Mill Speed Actual;SAG Mill Motors;SAG % Critical Speed;SAG Microphone #1;SAG PMD % Sound;CV2 Camera Pebbles;SM Scrn/Disch PB Wtr Flow;SAG SCRN MOT CUR;PEB CRUSHER POWER;PEB CV #1 BELT SCALE;PEBBLE CRUSHER GAP;PEB CV #6 WEIGHTOMETER
20-03-2019 05:36;2.281087;2.053215;2.506267;1712.589;2.184026;25.00368;62;1131.039;2001.663;90.925;12562.5;7313.896;6505.273;10.49;104;78.77769;105.4398;48.11233;39.96787;375;34.22101;223.0198;236.6257;17.98401;0.7537957
20-03-2019 05:36;2.274893;2.067554;2.509315;1711.284;2.189701;24.99145;62;1123.471;2000.671;91.26334;12566.67;7295.204;6567.451;10.48333;104;78.70887;106.9408;49.5526;39.96787;375;34.2371;220.6088;232.9857;17.98401;0.7488365
20-03-2019 05:36;2.273048;2.065239;2.505725;1715.969;2.186137;25.00078;62;1129.732;1983.898;91.34;12573.33;7289.873;6479.357;10.48;104;78.68384;106.6552;49.86567;39.96787;375;34.2029;222.1836;232.8733;17.98401;0.7612345
20-03-2019 05:36;2.265745;2.047397;2.502838;1732.784;2.173816;25.02804;62;1121.131;1978.759;91.49;12610;7327.748;6544.305;10.47667;104;78.73389;107.0812;49.81711;39.96787;375;34.06406;229.7887;242.3618;17.98401;0.733959
20-03-2019 05:36;2.271924;2.030247;2.50877;1719.284;2.168566;25.05677;62;1128.049;2008.545;91.215;12547.5;7319.261;6505.589;10.48333;104;78.68384;105.9388;50.86588;40.06031;375;34.01804;228.0186;245.2977;17.98401;0.763714
20-03-2019 05:36;2.272456;1.98769;2.509666;1714.87;2.146291;24.94094;62;1120.305;1986.984;91.43667;12593.33;7301.516;6546.269;10.475;104;78.69886;105.8488;49.3452;40.26157;375;33.85357;229.3889;244.3091;17.98401;0.751812
20-03-2019 05:37;2.263264;1.966349;2.500575;1728.054;2.125576;24.94118;62;1112.139;1989.792;91.38333;12576.67;7293.941;6513.584;10.488;104;78.73389;106.0375;48.58199;40.37039;375;33.97089;228.1895;240.5521;17.98401;0.7537957
20-03-2019 05:37;2.256948;1.95256;2.505516;1713.642;2.121067;24.89042;62;1119.91;1998.428;91.2975;12575;7315.578;6515.268;10.48667;104;78.70887;106.2481;49.13365;40.37039;375;34.19686;227.7379;241.3568;17.98401;0.7471834
20-03-2019 05:37;2.253232;1.95124;2.507377;1717.754;2.117637;24.86182;62;1127.113;1996.613;91.21667;12620;7359.59;6550.197;10.48;104;78.65881;105.9394;48.98111;40.34478;375;34.09223;223.6118;239.4723;17.98401;0.7471834
20-03-2019 05:37;2.24734;1.946174;2.49964;1709.865;2.111878;24.76144;62;1110.369;2013.184;91.07999;12560;7334.621;6487.914;10.48;104;78.70261;106.5807;49.09511;40.29356;375;34.06004;224.1428;238.1548;17.98401;0.7463569
